,Unnamed: 0,0_,1_,2_,_0,_1,_2
0,"('00', '00')",-2.35,-2.07,-1.36,-2.71,-2.13,-2.24
1,"('00', '01')",-1.3,-1.36,-1.29,-1.49,-1.5,-2.05
2,"('00', '10')",-1.33,-1.18,-1.13,-1.33,-1.44,-1.18
3,"('00', '02')",-2.35,-2.36,-1.21,-2.39,-3.26,-2.39
4,"('00', '20')",-0.8,-0.85,-0.65,-0.71,-0.83,-0.91
5,"('01', '00')",-0.11,-0.2,-0.2,5.86,-0.2,-0.5
6,"('01', '01')",-0.29,-0.2,-0.82,6.85,-0.07,-0.7
7,"('01', '11')",1.67,0.0,-0.85,0.0,-0.2,-1.66
8,"('01', '02')",0.45,-0.38,0.0,0.0,0.0,-0.26
9,"('01', '21')",0.74,-0.2,-1.2,5.82,-0.94,-0.57
10,"('11', '01')",-0.09,-0.38,-0.2,-0.22,-0.22,-0.2
11,"('11', '11')",-0.05,-0.4,-0.38,-0.38,-0.56,-0.38
12,"('11', '10')",-0.28,-0.37,-0.38,-0.38,-0.4,-0.38
13,"('11', '12')",-0.2,-0.2,-0.2,-0.38,-0.34,-0.54
14,"('11', '21')",-0.2,-0.18,-0.21,-0.2,-0.2,-0.2
15,"('10', '00')",-1.44,-0.66,-1.27,-1.27,-1.32,-2.02
16,"('10', '11')",-0.22,-0.25,-0.31,-0.2,-0.2,-0.39
17,"('10', '10')",-0.87,-1.12,-1.08,-1.15,-1.01,-0.84
18,"('10', '20')",-0.25,-0.68,-0.54,-0.61,-0.56,-0.52
19,"('10', '12')",-0.4,-0.44,-0.46,-0.41,-0.39,-0.53
20,"('02', '00')",0.13,-0.2,-0.2,6.64,0.0,0.08
21,"('02', '01')",-1.69,0.0,-0.2,3.87,-0.2,0.0
22,"('02', '02')",0.41,-0.54,-0.38,7.79,1.0,1.51
23,"('02', '22')",0.17,-0.38,-0.2,7.98,0.71,0.37
24,"('02', '12')",-1.0,0.0,0.0,0.0,0.0,3.14
25,"('22', '02')",0.0,-0.2,0.0,-0.2,-0.2,-0.2
26,"('22', '22')",0.04,-1.54,-0.55,-0.2,-0.2,-0.69
27,"('22', '20')",5.08,-0.54,-0.38,-1.13,-1.07,-0.38
28,"('22', '12')",0.24,-0.14,-0.2,-0.54,-0.33,-0.38
29,"('22', '21')",1.87,-0.34,0.0,-0.2,0.0,-0.2
30,"('20', '00')",-0.81,-0.89,-0.91,-0.93,-0.99,2.07
31,"('20', '10')",-0.42,-0.59,-0.76,-0.46,-0.77,-0.12
32,"('20', '22')",-0.59,-0.23,-0.23,-0.22,-0.2,0.24
33,"('20', '20')",-0.59,-0.74,-1.68,-0.99,-0.93,-1.39
34,"('20', '21')",0.0,0.0,-0.2,-0.2,-0.2,-0.38
35,"('12', '11')",-0.2,-0.24,-0.54,-0.22,-1.12,-0.22
36,"('12', '10')",-0.19,-0.42,-0.38,-0.57,-0.4,-0.38
37,"('12', '02')",-0.1,-0.24,-0.2,-0.22,-0.4,-0.2
38,"('12', '22')",-0.33,-0.14,-0.18,-0.2,-0.2,-0.2
39,"('12', '12')",-0.45,-0.85,-0.54,-0.75,-0.56,-0.75
40,"('21', '01')",-0.17,-0.2,-0.26,-0.2,-0.12,-0.13
41,"('21', '11')",-0.16,-0.2,-0.12,-0.2,-0.11,-0.2
42,"('21', '22')",0.75,-0.38,-0.04,-0.2,-0.11,-0.2
43,"('21', '20')",0.57,0.0,0.0,-0.2,-0.11,-0.29
44,"('21', '21')",1.75,-0.38,-0.2,0.0,0.0,-0.16
